Name,Carrier 1,Year 1,Carrier 2,Year 2,Carrier 3,Year 3,Carrier 4,Year 4,Carrier 5,Year 5,Carrier 6,Year 6,Carrier 7,Year 7,Carrier 8,Year 8,Carrier 9,Year 9,Carrier 10,Year 10,Carrier 11,Year 11,Carrier 12,Year 12,Carrier 13,Year 13,Carrier 14,Year 14,Carrier 15,Year 15,Carrier 16,Year 16,Carrier 17,Year 17,Carrier 18,Year 18,Carrier 19,Year 19,Carrier 20,Year 20,Carrier 21,Year 21,Carrier 22,Year 22,Carrier 23,Year 23,Carrier 24,Year 24,Carrier 25,Year 25,Carrier 26,Year 26,Carrier 27,Year 27,Carrier 28,Year 28,Carrier 29,Year 29,Carrier 30,Year 30,Carrier 31,Year 31,Carrier 32,Year 32,Carrier 33,Year 33,Carrier 34,Year 34,Carrier 35,Year 35,Carrier 36,Year 36,Carrier 37,Year 37,Carrier 38,Year 38,Carrier 39,Year 39,Carrier 40,Year 40,Carrier 41,Year 41,Carrier 42,Year 42,Carrier 43,Year 43,Carrier 44,Year 44,Carrier 45,Year 45
DANTOINE Helene Suzanne,FOM,1998,,2001,,2001,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DARMON Jacques,,1964,,1972,,1973,,1974,the Ministry of Industry ,1974,,1977,,1977,,1978,Cabinets,1978,,1981,Retail,1979,Retail,1979,,1985,Technology,1986,,1994,,2003,,1989,,1999,,2002,,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DAUSSUN Robert,,1976,,1978,Commisions,1985,Ministry of Economy,1988,,1990,Ministry of Economy,1992,Ministry of Finance,1992,Ministry of Economy,1992,Cabinets,1993,,1993,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DAVID Jacques-Henri Albert,,1965,,1965,,1968,INSEE,1969,,1972,,1975,,1975,,1974,Ministry of Economy,1979,,1980,,1981,,1984,,1989,,1989,Other banks,1992,,1996,,1989,,1992,Other banks,1993,,1995,,1998,,1999,Commisions,1999,,1999,,1997,,1999,Other banks,1999,Other banks,2009,,2009,Real estate sector,2010,,2010,,1979,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DEBONNEUIL Michele,,1979,,1989,,1991,Other banks,1996,Heavy industry,1998,,2008,FOM,2004,INSEE,2004,Cabinets,2005,,2005,,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DELAHOUSSE Michel Jean AndrÇ,,1977,the Ministry of Industry ,1977,,1978,,1998,,1998,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DELAPALME Nathalie Anne Marie Sophie,,1984,,1995,,1992,,1997,,1999,,2002,,N / A,,2004,Cabinets,2005,,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DELETRê Bruno Yves Marie RenÇ,,1991,,1995,,1997,The Treasury ,2001,BPCE group,1997,,2006,,2003,,2008,BPCE group,2009,Ministry of Economy,1995,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DELPIT Bernard Pierre Marie,Commissions Other,1992,Ministry of Economy,2000,Heavy industry,2000,Heavy industry,2004,Heavy industry,2007,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DEMAROLLE Alain Jean Francis,,1995,Commissions Other,1996,,1996,,1997,Ministry of Economy,1998,Other banks,2002,,2005,,2007,,2010,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DENIS Jean-Pierre,,1995,,1997,Energy sector,1999,Energy sector,1998,Energy sector,2001,Energy sector,2003,Energy sector,2003,,2003,,2003,,2003,,2004,,2005,,2007,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DENOYEL Gilles Paul Marie,,1987,Ministry of Economy,1989,,1989,Ministry of Economy,1996,,2004,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DEPROST Pierre Roger Jacques,,1989,,1992,Commisions,1993,,2003,Ministry of Culture,2008,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DESMOUCEAUX by GIVRAY-LADELNET ValÇrie Marie-ThÇräse,,1984,,1985,,1986,,1987,,1988,,1989,,1994,,1994,,1994,,1997,,1998,BNP Paribas,2001,HSBC France,2007,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DJELLAL Robert,,1997,,1998,Ministry of Economy,2002,,2002,,2002,,2005,,2006,,2006,Cabinets,2007,,2007,,2007,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUNGEON of SAINT-MARTIN Jean-Philippe Dominique,,2007,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DORISON Alain Daniel Maurice,,1980,,1985,,1989,,1990,,1997,,2006,,1997,,2007,,2007,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUBERTRET Benjamin Francois Jean,,2005,,2008,,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUBOIS Romain Marie Hubert,,1992,Consulting,1994,,1997,the Ministry of Employment and Solidarity ,1997,Ministry of Economy,2002,,2007,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUBOST Daniel Alain,,1981,FOM,1990,Ministry of Economy,1990,the Ministry of Industry ,1994,,1996,Ministry of Economy,2000,Ministry of Economy,2006,the Forecasting department,2007,Ministry of Economy,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUFOURCQ Nicolas Georges Norbert Marie Joâl,Cabinets,1993,,N / A,,2002,Technology,2003,,2003,Consulting,2003,Consulting,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
Pascale DUGOS,Commisions,2003,,2008,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUHAMEL Nicolas Louis Auguste,,1983,Ministry of Economy,1988,,1993,,1993,Energy sector,2002,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DULAC Philippe Jean RenÇ Guillaume,,1972,,1972,,1973,Ministry of Economy,1976,Ministry of Economy,1976,,1977,Cabinets,1977,Ministry of Economy,1982,Ministry of Economy,1983,,1986,,1986,,1990,BNP Paribas,1999,,1998,BNP Paribas,1992,BNP Paribas,1998,,1998,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUMAS Philippe Robert,,1975,Commisions,1974,,1975,Ministry of Economy,1976,,1976,Cabinets,1977,Ministry of Economy,1983,,1986, Caisse des dÇpìts et consignations,1991,,1991,,1994,,1997,CIC,1997,,2000,,1999,,2002,,2004,,2008,,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUPRAT-BRIOU Orianne Audrey,,2003,,2004,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUPUIS Philippe AndrÇ Pierre,Ministry of Economy,1993,Ministry of Economy,2000,Commissions Other,2002,the Ministry of Industry ,2005,,2003,,2005,,2005,,2007,Heavy industry,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DUREAU Guillaume RenÇ Marie,,1988,INSEE,1990,INSEE,1992,Ministry of Economy,1995,,1994,,1995,Ministry of Economy,1998,,1998,Commisions,2000,Ministry of Economy,2004,,2006,,2010,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DURIEUX Bruno,,1975,INSEE,1975,,1975,,1976,,1981,,2006,Ministry of Economy,1986,,1990,,1991,,1992,,1993,,1992,,1997,,1996,,2001,,1999,,1999,,2003,,2005,,2005,,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
ESPALIOUX Jean-Marc,,1984,,1987,,1996,,1996,,1996,Other sectors,2006,Other sectors,2006,,2006,,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
EUVRARD Michel Yves Raymond,,1969,,1970,,1971,,1985,,1987,BPCE group,1994,,1997,,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
EVENO Bertrand Pierre Henri,,1975,,1978,,1981,,1981,Retail,1984,Retail,1986,Retail,1986,Heavy industry,1986,Retail,1986,Media,2000,,2000,Media,1989,Media,2000,Media,1995,Media,1997,,1998,Media,2000,,2000,,2005,,2007,Consulting,2007,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
Fares Mohammed Said,,1948,,1951,,1952,,1956,FOM,1956,,1959,,1965,,1970,,1970,FOM,1975,FOM,1986,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FEHRENBACH Jerome Jean Marie,,2003,,2004,Ministry of Economy,2005,,2007,Consulting,2010, Caisse des dÇpìts et consignations,2010,,2003,,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FERRAZZI Claudia,,2001,Consulting,2004,Consulting,2006,,2007,,2011,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FILIPPI Charles-Henri Marie,,1984,Ministry of Economy,1984,,1985,,1987,Ministry of Economy,1987,Other banks,1987,,1988,,1990,,1993,HSBC France,1994,,2001,Investment banks,2001,,2003,,2009,,2007,,2008,,2009,,2009,,2009,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FLEURIOT Pierre Christian Claude,,1987,,1991,,1997,BNP Paribas,2001,BNP Paribas,1999,BNP Paribas,2002,BNP Paribas,2007,,2003,,2005,Other banks,2008,BNP Paribas,2008,Other banks,2008,,2009,Investment banks,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FORNERI Jean-Marc Louis,,1994,,1996,,1996,,1996,,2003,,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FOUCAULD (de) Jean-Baptiste Louis Charles,Ministry of Economy,1974,,1976,,1975,,1975,,1977,Ministry of Economy,1980,,1979,Commisions,1981,Ministry of Economy,1983,Ministry of Economy,1984,,1988,,1989,FOM,1992,,1988,FOM,1995,,1996,,2007,Commissions Other,2002,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FREYCHE Michel Gabriel,,1951,,1957,,1964,,1968,Ministry of Economy,1972,,1971,Ministry of Economy,1973,,1974,,1978,,1982,,1994,,1983,,2000,,1996,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FRIBORG Michael Jacques Michel,,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
FRIEDMANN Jacques Henri,,1963,,1963,,1966,Commisions,1966,,1967,FOM,1979,,1971,Ministry of Economy,1972,Cabinets,1974,,1974,Heavy industry,1982,,1986,BPCE group,1995,,1987,,1988,Real estate sector,1993,Technology,1990,Media,1993,Other banks,1994,,1997,Energy sector,1997,,1999,,2005,,1999,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GAGEY Frederic Nicolas Pierre Paul,,1982,,1985,INSEE,1988,,1988,,1990,,1990,,1992,,1994,,1997,,1997,,2004,,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GAILLARD Yann Marie,,1967,,1969,,1969,,1972,,1978,,2001,,2001,,1979,,1982,Other sectors,1987,Other banks,1987,,1992,,2001,,1994,,2001,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GARANDEAU Eric Michel Christian Jacques,,2002,,2004,,2007,,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GASTINEL Herve,,1998,,2000,,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GATIER JÇrìme Gabriel Francois Pascal,,1991,,1994,,1995,,1996,Other sectors,2003,Other sectors,2004,Other sectors,2006,Other sectors,2006,Other sectors,2009,FOM,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GAUDIN Pierre Henri Jean,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GAUTIER-SAUVAGNAC Denis (Marie Francois) Antoine,,1970,,1970,Ministry of Economy,1971,,1972,,1978,,1978,,1979,,1985,Media,1985,Heavy industry,1985,,1988,,1989,,1993,,2005,,1998,,2000,,2003,Heavy industry,2001,,2008,,2007,,2004,,2007,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GAVOIS Francis Robert,,1964,,1968,,1968,,1968,,1969,Ministry of Economy,1971,Ministry of Economy,1973,,1972,Cabinets,1973,,1973,,1976,,1976,,1981,,1997,Investment banks,1998,,2006,,2001,,1972,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GERBAUX Jacques Fernand Louis Alfred,,1945,,1958,FOM,1966,,1960,,1963,,1966,,1967,,1968, the Ministry of the Armed Forces,1969,,1969,,1972,,1976,,1987,,1989,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GESLIN Arnaud Pierre,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
GINTRAND AndrÇ Joseph Augustin,,1953,FOM,1953,FOM,1955,FOM,1955,FOM,1956,FOM,1956,FOM,1958,FOM,1959,FOM,1958,Commissions Other,1959,FOM,1962,FOM,1964,,1965,,1966,,1969,,1970,,1972,,1973,,1970,,1975,,1989,,2004,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
